"Date","CTi_Tici_cattle","CTi_Tici_boar","CTi_Tici_Sala","CTi_Vala_cattle","CTi_Vala_boar","CTi_Vala_Sala","CTi_Zuri_cattle","CTi_Zuri_boar","CTi_Zuri_Sala"
"2003-06-01",0,0,0,0,0,0,0,0,0
"2003-06-02",0,0,0,0,0,0,0,0,0
"2003-06-03",0,0,0,0,0,0,0,0,0
"2003-06-04",0,0,0,0,0,0,0,0,0
"2003-06-05",0,0,0,0,0,0,0,0,0
"2003-06-06",0,0,0,0,0,0,0,0,0
"2003-06-07",0,0,0,0,0,0,0,0,0
"2003-06-08",0,0,0,0,0,0,0,0,0
"2003-06-09",0,0,0,0,0,0,0,0,0
"2003-06-10",0,0,0,0,0,0,0,0,0
"2003-06-11",0,0,0,0,0,0,0,0,0
"2003-06-12",0,0,0,0,0,0,0,0,0
"2003-06-13",0,0,0,0,0,0,0,0,0
"2003-06-14",0,0,0,0,0,0,0,0,0
"2003-06-15",0,0,0,0,0,0,0,0,0
"2003-06-16",0,0,0,0,0,0,0,0,0
"2003-06-17",0,0,0,0,0,0,0,0,0
"2003-06-18",0,0,0,0,0,0,0,0.0555555555555556,0
"2003-06-19",0,0,0,0,0,0,0,0.0526315789473684,0
"2003-06-20",0,0,0,0,0,0,0,0.05,0
"2003-06-21",0,0,0,0,0,0,0,0.0476190476190476,0
"2003-06-22",0,0,0,0,0,0,0,0.0454545454545455,0
"2003-06-23",0,0,0,0,0,0,0,0.0434782608695652,0
"2003-06-24",0,0,0,0,0,0,0,0.0833333333333333,0
"2003-06-25",0,0,0,0,0,0,0,0.12,0
"2003-06-26",0,0,0,0,0,0,0,0.153846153846154,0
"2003-06-27",0,0,0,0,0,0,0,0.148148148148148,0
"2003-06-28",0,0,0,0,0,0,0,0.178571428571429,0
"2003-06-29",0,0,0,0,0,0,0,0.172413793103448,0
"2003-06-30",0,0,0,0,0,0,0,0.166666666666667,0
"2003-07-01",0,0,0,0,0,0,0,0.161290322580645,0
"2003-07-02",0,0,0,0,0,0,0,0.15625,0
"2003-07-03",0,0,0,0,0,0,0,0.151515151515152,0
"2003-07-04",0,0,0,0,0,0,0,0.147058823529412,0
"2003-07-05",0,0,0,0,0,0,0,0.142857142857143,0
"2003-07-06",0,0,0,0,0,0,0,0.138888888888889,0
"2003-07-07",0,0,0,0,0,0,0,0.162162162162162,0
"2003-07-08",0,0,0,0,0,0,0,0.184210526315789,0
"2003-07-09",0,0,0,0,0,0,0,0.205128205128205,0
"2003-07-10",0,0,0,0,0,0,0,0.2,0
"2003-07-11",0,0,0,0,0,0,0,0.195121951219512,0
"2003-07-12",0,0,0,0,0,0,0,0.19047619047619,0
"2003-07-13",0,0,0,0,0,0,0,0.209302325581395,0
"2003-07-14",0,0,0,0,0,0,0,0.227272727272727,0
"2003-07-15",0,0,0,0,0,0,0,0.222222222222222,0
"2003-07-16",0,0,0,0,0,0,0,0.217391304347826,0
"2003-07-17",0,0,0,0,0,0,0,0.212765957446809,0
"2003-07-18",0,0,0,0,0,0,0,0.208333333333333,0
"2003-07-19",0,0,0,0,0,0,0,0.204081632653061,0
"2003-07-20",0,0,0,0,0,0,0,0.2,0
"2003-07-21",0,0,0,0,0,0,0,0.196078431372549,0
"2003-07-22",0,0,0,0,0,0,0,0.192307692307692,0
"2003-07-23",0,0,0,0,0,0,0,0.188679245283019,0
"2003-07-24",0,0,0,0,0,0,0,0.185185185185185,0
"2003-07-25",0,0,0,0,0,0,0,0.181818181818182,0
"2003-07-26",0,0,0,0,0,0,0,0.196428571428571,0
"2003-07-27",0,0,0,0,0,0,0,0.192982456140351,0
"2003-07-28",0,0,0,0,0,0,0,0.189655172413793,0
"2003-07-29",0,0,0,0,0,0,0,0.203389830508475,0
"2003-07-30",0,0,0,0,0,0,0,0.216666666666667,0
"2003-07-31",0,0,0,0,0,0,0,0.213114754098361,0
"2003-08-01",0,0,0,0,0,0,0,0.209677419354839,0
"2003-08-02",0,0,0,0,0,0,0,0.206349206349206,0
"2003-08-03",0,0,0,0,0,0,0,0.21875,0
"2003-08-04",0,0,0,0,0,0,0,0.215384615384615,0
"2003-08-05",0,0,0,0,0,0,0,0.227272727272727,0
"2003-08-06",0,0,0,0,0,0,0,0.223880597014925,0
"2003-08-07",0,0,0,0,0,0,0,0.220588235294118,0
"2003-08-08",0,0,0,0,0,0,0,0.217391304347826,0
"2003-08-09",0,0,0,0,0,0,0,0.228571428571429,0
"2003-08-10",0,0,0,0,0,0,0,0.225352112676056,0
"2003-08-11",0,0,0,0,0,0,0,0.222222222222222,0
"2003-08-12",0,0,0,0,0,0,0,0.219178082191781,0
"2003-08-13",0,0,0,0,0,0,0,0.216216216216216,0
"2003-08-14",0,0,0,0,0,0,0,0.213333333333333,0
"2003-08-15",0,0,0,0,0,0,0,0.210526315789474,0
"2003-08-16",0,0,0,0,0,0,0,0.207792207792208,0
"2003-08-17",0,0,0,0,0,0,0,0.217948717948718,0
"2003-08-18",0,0,0,0,0,0,0,0.227848101265823,0
"2003-08-19",0,0,0,0,0,0,0,0.2375,0
"2003-08-20",0,0,0,0,0,0,0,0.246913580246914,0
"2003-08-21",0,0,0,0,0,0,0,0.25609756097561,0
"2003-08-22",0,0,0,0,0,0,0,0.265060240963855,0
"2003-08-23",0,0,0,0,0,0,0,0.273809523809524,0
"2003-08-24",0,0,0,0,0,0,0,0.282352941176471,0
"2003-08-25",0,0,0,0,0,0,0,0.290697674418605,0
"2003-08-26",0,0,0,0,0,0,0,0.298850574712644,0
"2003-08-27",0,0,0,0,0,0,0,0.306818181818182,0
"2003-08-28",0,0,0,0,0,0,0,0.314606741573034,0
"2003-08-29",0,0,0,0,0,0,0,0.311111111111111,0
"2003-08-30",0,0,0,0,0,0,0,0.307692307692308,0
"2003-08-31",0,0,0,0,0,0,0,0.315217391304348,0
"2003-09-01",0,0,0,0,0,0,0,0.311827956989247,0
"2003-09-02",0,0,0,0,0,0,0,0.308510638297872,0
"2003-09-03",0,0,0,0,0,0,0,0.305263157894737,0
"2003-09-04",0,0,0,0,0,0,0,0.302083333333333,0
"2003-09-05",0,0,0,0,0,0,0,0.298969072164948,0
"2003-09-06",0,0,0,0,0,0,0,0.295918367346939,0
"2003-09-07",0,0,0,0,0,0,0,0.292929292929293,0
"2003-09-08",0,0,0,0,0,0,0,0.29,0
"2003-09-09",0,0,0,0,0,0,0,0.287128712871287,0
"2003-09-10",0,0,0,0,0,0,0,0.284313725490196,0
"2003-09-11",0,0,0,0,0,0,0,0.281553398058252,0
"2003-09-12",0,0,0,0,0,0,0,0.278846153846154,0
"2003-09-13",0,0,0,0,0,0,0,0.276190476190476,0
"2003-09-14",0,0,0,0,0,0,0,0.273584905660377,0
"2003-09-15",0,0,0,0,0,0,0,0.271028037383178,0
"2003-09-16",0,0,0,0,0,0,0,0.268518518518519,0
"2003-09-17",0,0,0,0,0,0,0,0.26605504587156,0
"2003-09-18",0,0,0,0,0,0,0,0.263636363636364,0
"2003-09-19",0,0,0,0,0,0,0,0.261261261261261,0
"2003-09-20",0,0,0,0,0,0,0,0.258928571428571,0
"2003-09-21",0,0,0,0,0,0,0,0.256637168141593,0
"2003-09-22",0,0,0,0,0,0,0,0.254385964912281,0
"2003-09-23",0,0,0,0,0,0,0,0.252173913043478,0
"2003-09-24",0,0,0,0,0,0,0,0.25,0
"2003-09-25",0,0,0,0,0,0,0,0.247863247863248,0
"2003-09-26",0,0,0,0,0,0,0,0.245762711864407,0
"2003-09-27",0,0,0,0,0,0,0,0.243697478991597,0
"2003-09-28",0,0,0,0,0,0,0,0.241666666666667,0
"2003-09-29",0,0,0,0,0,0,0,0.239669421487603,0
"2003-09-30",0,0,0,0,0,0,0,0.237704918032787,0
