species,tmax (°C),tmin (°C),tmax metric,tmin metric,acclim-ated (Y/N),latitude collected,hemis-phere,altitude >600 m,habitat,phylum,class,order,family,Ref.
Desmognathus fuscus,35,-2.3,crit.,crit.,Y,39.7,N,300,terr.,Chordata,Amphibia,Caudata,Plethodontidae,42
Eurycea bislineata,35,-2,crit.,crit.,Y,39.7,N,300,terr.,Chordata,Amphibia,Caudata,Plethodontidae,43
Rana sylvaticus,33.9,0.5,crit.,crit.,N,42.6,N,67,terr.,Chordata,Amphibia,Anura,Ranidae,44
Xantusia riversiana,39,6.6,crit.,crit.,N,32.9,N,250,terr.,Chordata,Reptilia,Squamata,Xantusiidae,45
Hodotermes mossambicus,48,6,crit.,crit.,Y,28,S,no data,terr.,Arthropoda,Insecta,Isoptera,Hodotermitidae,47
Drosophila albomicans,33,-1.5,crit.,leth.,Y,26.5,N,50,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,50
Drosophila curviceps,30,-5.5,crit.,leth.,Y,36.5,N,1600,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,50
Drosophila immigrans,31.5,-1.5,crit.,leth.,Y,43,N,30,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,50
Onymacris bicolor,49,9,crit.,crit.,N,22,S,no data,terr.,Arthropoda,Insecta,Coleoptera,Tenebrionidae,56
Onymacris marginipennis,47.4,9.4,crit.,crit.,N,22,S,no data,terr.,Arthropoda,Insecta,Coleoptera,Tenebrionidae,56
Onymacris plana,48.9,10.5,crit.,crit.,N,22,S,no data,terr.,Arthropoda,Insecta,Coleoptera,Tenebrionidae,56
Onymacris rugatipennis,50.5,10.5,crit.,crit.,N,22,S,no data,terr.,Arthropoda,Insecta,Coleoptera,Tenebrionidae,56
Onymacris unguicularis,50.4,12.3,crit.,crit.,N,22,S,no data,terr.,Arthropoda,Insecta,Coleoptera,Tenebrionidae,56
Physadesmia globosa,50.8,13.7,crit.,crit.,N,22,S,no data,terr.,Arthropoda,Insecta,Coleoptera,Tenebrionidae,56
Misumenoides formosipes,48.2,2.2,crit.,crit.,N,40.5,N,36.9,terr.,Arthropoda,Arachnida,Araneae,Thomisidae,57
Misumenops asperatus,45.1,-1.4,crit.,crit.,N,40.5,N,36.9,terr.,Arthropoda,Arachnida,Araneae,Thomisidae,57
Isotoma klovstadi,34.5,-13.3,crit.,crit.,N,71.7,S,0,terr.,Arthropoda,Entognatha,Collembola,Isotomidae,59
Cryptopygus cisantarcticus,31.8,-7.9,crit.,crit.,N,71.7,S,0,terr.,Arthropoda,Entognatha,Collembola,Isotomidae,59
Friesea grisea,35.1,-7.7,crit.,crit.,N,71.7,S,0,terr.,Arthropoda,Entognatha,Collembola,Isotomidae,59
Antarctopsocus jeanneli,29.5,-13,crit.,leth.,N,46.9,S,99,terr.,Arthropoda,Insecta,Psocoptera,Elipsocidae,60
Halmaeusa atriceps,32.4,-4.1,crit.,crit.,Y,46.9,S,99,terr.,Arthropoda,Insecta,Coleoptera,Staphylinidae,60
Amphibolurus decresii,43.8,7,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Agaidae,61
Amphibolurus diemensis,44.8,3.1,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Agaidae,61
Amphibolurus muricatus,42.3,3,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Agaidae,61
Austrelaps superbus,41.2,3,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Elapidae,61
Bassiana duperreyi,43.5,3,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Egernia cunninghami,41.9,4.7,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Egernia inornata,41.6,9.8,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Egernia saxatilis,41.8,4.5,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Egernia whitii,41.8,4,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Eulamprus kosciuskoi,40.2,2.5,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Eulamprus quoyi,39.8,6,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Gehyra variegata,43.8,6,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Gekkonidae,61
Hemiergis decresiensis,39.3,9.6,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Heteronotia binoei,40.6,9.6,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Gekkonidae,61
Lampropholis delicata,40.8,4.7,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Leiolopisma mustelinum,38.6,5.9,crit.,crit.,Y,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Moloch horridus,42.5,3.5,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Agaidae,61
Nannoscincus maccoyi,37,4,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Gekkonidae,61
Niveoscincus metallicum,40,2.7,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Niveoscincus ocellatum,40.1,3,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Notechis scutatus,38,2.2,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Hydrophiidae,61
Physignathus gilberti,41.8,2.7,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Agaidae,61
Pseudemoia entrecasteauxii,42.1,2.5,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Pseudemoia spenceri,42.3,1.9,crit.,crit.,Y,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Pseudonaja textilis,42.4,3.5,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Hydrophiidae,61
Sphenomorphus tympanum,39.8,2.2,crit.,crit.,Y,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Suta flagellum,40,3,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Hydrophiidae,61
Tiliqua nigrolutea,42.5,5.2,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Varanus varius,43.7,5,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Varanidae,61
Leiolopisma guichenoti,42,1.9,crit.,crit.,Y,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Chirodica chalcoptera,41,0.1,crit.,crit.,Y,33.6,S,350,terr.,Arthropoda,Insecta,Coleoptera,Chrysomelidae,64
Glossina pallidipes,37.9,3.7,crit.,crit.,N,4.2,S,388,terr.,Arthropoda,Insecta,Diptera,Glossinidae,65
Ameiva festiva,43.7,15.5,crit.,crit.,N,10.5,N,50,terr.,Chordata,Reptilia,Squamata,Teiidae,66
Anolis carolinensis,41.7,4.7,crit.,crit.,N,31,N,0,terr.,Chordata,Reptilia,Squamata,Polychrotidae,66
Anolis cupreus,38.4,11.8,crit.,crit.,N,10.5,N,10,terr.,Chordata,Reptilia,Squamata,Polychrotidae,66
Anolis humilis,35.6,12.4,crit.,crit.,N,10.5,N,50,terr.,Chordata,Reptilia,Squamata,Polychrotidae,66
Anolis intermedius,38.4,11.1,crit.,crit.,N,10.3,N,1450,terr.,Chordata,Reptilia,Squamata,Polychrotidae,66
Anolis lemurinus,37.3,12.9,crit.,crit.,N,10.5,N,50,terr.,Chordata,Reptilia,Squamata,Polychrotidae,66
Anolis limifrons,36.8,12.3,crit.,crit.,N,10.5,N,50,terr.,Chordata,Reptilia,Squamata,Polychrotidae,66
Anolis lionotus,36.7,14.7,crit.,crit.,N,10.5,N,50,terr.,Chordata,Reptilia,Squamata,Polychrotidae,66
Anolis tropidolepis,33.1,9.5,crit.,crit.,N,10.3,N,1500,terr.,Chordata,Reptilia,Squamata,Polychrotidae,66
Cnemidophorus tigris,45.1,10.5,crit.,crit.,N,43,N,300,terr.,Chordata,Reptilia,Squamata,Teiidae,66
Lepidophyma flavimaculatum,38,11.3,crit.,crit.,N,10.5,N,2000,terr.,Chordata,Reptilia,Squamata,Xantusiidae,66
Sceloporus graciosus,44.7,4.8,crit.,crit.,N,33.9,N,230,terr.,Chordata,Reptilia,Squamata,Phrynosomatidae,66
Sceloporus malachiticus,42.8,9.7,crit.,crit.,N,10.3,N,1400,terr.,Chordata,Reptilia,Squamata,Phrynosomatidae,66
Sceloporus occidentalis,44.1,4.6,crit.,crit.,N,45.8,N,300,terr.,Chordata,Reptilia,Squamata,Phrynosomatidae,66
Sceloporus variabilis,43.1,10.2,crit.,crit.,N,10.5,N,0,terr.,Chordata,Reptilia,Squamata,Phrynosomatidae,66
Xantusia vigilis,41.6,6.9,crit.,crit.,N,33.9,N,50,terr.,Chordata,Reptilia,Squamata,Xantusiidae,66
Bothrometopus elongatus,31,-8,crit.,leth.,Y,46.9,S,150,terr.,Arthropoda,Insecta,Coleoptera,Curculionidae,67
Bothrometopus parvulus,32,-8,crit.,leth.,Y,46.9,S,0,terr.,Arthropoda,Insecta,Coleoptera,Curculionidae,67
Bothrometopus randi,31,-9,crit.,leth.,Y,46.9,S,0,terr.,Arthropoda,Insecta,Coleoptera,Curculionidae,67
Ectemnorhinus marioni,34,-9,crit.,leth.,Y,46.9,S,50,terr.,Arthropoda,Insecta,Coleoptera,Curculionidae,67
Ectemnorhinus similis,34,-10,crit.,leth.,N,46.9,S,50,terr.,Arthropoda,Insecta,Coleoptera,Curculionidae,67
Palirhoeus eatoni,32,-9,crit.,leth.,Y,46.9,S,0,terr.,Arthropoda,Insecta,Coleoptera,Curculionidae,67
Uta stansburiana,43.7,7.8,crit.,crit.,N,39.5,N,1658,terr.,Chordata,Reptilia,Squamata,Iguania,69
Eremias brenchleyi,40.8,5.1,crit.,crit.,N,33.6,N,4,terr.,Chordata,Reptilia,Squamata,Lacertidae,70
Takydromus septentrionalis,44.5,4.9,crit.,crit.,Y,31.2,N,0,terr.,Chordata,Reptilia,Squamata,Lacertidae,71
Plestiodon gilberti,42.3,7.7,crit.,crit.,N,37,N,600,terr.,Chordata,Reptilia,Squamata,Scincidae,72
Takydromus sexlineatus,42.2,6.4,crit.,crit.,N,24.7,N,28,terr.,Chordata,Reptilia,Squamata,Lacertidae,73
Orchomene pinguides,12,-1.8,crit.,crit.,N,77.8,S,0,mar.,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,3
Paraleptognathia antarctica,10,-1.8,crit.,crit.,N,77.8,S,0,mar.,Arthropoda,Malacostraca,Tanaidacea,Anarthruridae,3
Philomedidae sp.,14,-1.8,crit.,crit.,N,77.8,S,0,mar.,Arthropoda,Malacostraca,Myodocopida,Philomedidae,3
Paramoera walkeri,15.02,-1.8,crit.,crit.,N,77.8,S,0,mar.,Arthropoda,Malacostraca,Amphipoda,Eusiridae,3
Heterophoxus videns,13,-1.8,crit.,crit.,N,77.8,S,0,mar.,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,3
Eudorella splendida,15,-1.8,crit.,crit.,N,77.8,S,0,mar.,Arthropoda,Malacostraca,Cumacea,Leuconidae,3
Nymphon sp.,20,-1.8,crit.,crit.,N,77.8,S,0,mar.,Arthropoda,Pycnogonida,Pantopoda,Nymphonidae,3
Onoba gelida,14,-1.8,crit.,crit.,N,77.8,S,0,mar.,Mollusca,Gastropoda,Neotaenioglossa,Rissoidae,3
Margarites refulgens,19,-1.8,crit.,crit.,N,77.8,S,0,mar.,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,3
Cyprinodon variegatus,44.2,0.6,crit.,crit.,Y,26,N,0,mar.,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,5
Clupea herengus,23.5,-1.8,crit.,leth.,N,57,N,0,mar.,Chordata,Actinopterygii,Clupeiformes,Clupeidae,5
Tautogolabrus adspersus,30,0.6,crit.,leth.,N,42,N,0,mar.,Chordata,Actinopterygii,Perciformes,Labridae,5
Oncorhynchus keta,23.2,-0.7,crit.,leth.,Y,52,N,0,mar.,Chordata,Actinopterygii,Salmoniformes,Salmonidae,5
Oncorhynchus nerka,21.5,-0.7,crit.,leth.,Y,52,N,0,mar.,Chordata,Actinopterygii,Salmoniformes,Salmonidae,5
Abra tenuis,33.4,-1.7,crit.,leth.,N,53,N,0,mar.,Mollusca,Bivalvia,Veneroida,Semelidae,12
Anadara granosa,41.5,4.8,crit.,leth.,N,17,S,0,mar.,Mollusca,Bivalvia,Arcoida,Arcidae,12
Anodontia bullula,36.3,7.2,crit.,leth.,N,17,S,0,mar.,Mollusca,Bivalvia,Veneroida,Lucinidae,12
Anomalocardia squamosa,37.3,3.1,crit.,leth.,N,17,S,0,mar.,Mollusca,Bivalvia,Veneroida,Veneridae,12
Barbatia pistachia,36.2,6,crit.,leth.,N,17,S,0,mar.,Mollusca,Bivalvia,Pteriomorpha,Arcidae,12
Cerastoderma edule,32.2,-6.2,crit.,leth.,N,53,N,0,mar.,Mollusca,Bivalvia,Veneroida,Cardiidae,12
Corbula sp,37.7,5.5,crit.,leth.,N,17,S,0,mar.,Mollusca,Bivalvia,Veneroida,Corbulidae,12
Divaricella irpex,36.9,5.5,crit.,leth.,N,17,S,0,mar.,Mollusca,Bivalvia,Veneroida,Lucinidae,12
Gafrarium dispar,41.8,7.3,crit.,leth.,N,17,S,0,mar.,Mollusca,Bivalvia,Veneroida,Veneridae,12
Macoma balthica,29.4,-7,crit.,leth.,N,53,N,0,mar.,Mollusca,Bivalvia,Veneroida,Tellinidae,12
Siliqua sp,33.5,6.1,crit.,leth.,N,17,S,0,mar.,Mollusca,Bivalvia,Veneroida,haridae,12
Tellina capsoides,38,3.4,crit.,leth.,N,17,S,0,mar.,Mollusca,Bivalvia,Veneroida,Tellinidae,12
Tellina piratica,37.6,3.6,crit.,leth.,N,17,S,0,mar.,Mollusca,Bivalvia,Veneroida,Tellinidae,12
Tellina sp,36.3,3.5,crit.,leth.,N,17,S,0,mar.,Mollusca,Bivalvia,Veneroida,Tellinidae,12
Kerguelenella lateralis,31.8,-17.8,crit.,leth.,N,54.2,S,0,mar.,Mollusca,Gastropoda,Basommatophora,Siphonariidae,16
Nacella concinna,15.6,-12.9,crit.,leth.,N,54.2,S,0,mar.,Mollusca,Gastropoda,Archaeogastropoda,Patellidae,16
Littorina littorea,35.3,-13,crit.,leth.,Y,55.8,N,3.073,mar.,Mollusca,Gastropoda,Neotaenioglossa,Littorinidae,17
Littorina obtusata,29.6,-13,crit.,leth.,Y,55.8,N,3.077,mar.,Mollusca,Gastropoda,Neotaenioglossa,Littorinidae,17
Littorina saxatilis,35,-16.4,crit.,leth.,Y,55.8,N,3.407,mar.,Mollusca,Gastropoda,Neotaenioglossa,Littorinidae,17
Mytilus edulis,30.5,-8.2,crit.,leth.,Y,53,N,2.9,mar.,Mollusca,Bivalvia,Mytiloida,Mytilidae,17
Nucella lapillus,28.2,-6.4,crit.,leth.,Y,55.8,N,2.59,mar.,Mollusca,Gastropoda,Archaeogastropoda,Patellidae,17
Semibalanus balanoides,34.9,-14.6,crit.,leth.,Y,55.8,N,3.13,mar.,Arthropoda,Maxillopoda,Sessilia,Archaeobalanidae,17
Tectura testudinalis,25.5,-7.4,crit.,leth.,Y,55.8,N,0.803,mar.,Mollusca,Gastropoda,Patellogastropoda,Lottiidae,17
Balanus crenatus,25.2,-1.4,crit.,leth.,Y,55.8,N,0.907,mar.,Arthropoda,Maxillopoda,Sessilia,Balanidae,18
Gibbula cineraria,27,-1.1,crit.,leth.,Y,55.8,N,2.567,mar.,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,18
Littorina fabalis,29.9,-13.3,crit.,leth.,Y,55.8,N,3.063,mar.,Mollusca,Gastropoda,Neotaenioglossa,Littorinidae,18
Tigriopus angulatus,21.9,-7.6,crit.,leth.,N,53.8,S,0,mar.,Arthropoda,Maxillopoda,Harpacticoida,Harpacticidae,17
Tigriopus brevicornis,35.1,-16.9,crit.,leth.,Y,55.8,N,0,mar.,Arthropoda,Maxillopoda,Harpacticoida,Harpacticidae,17
Tigriopus fulvus,43.7,-2.1,crit.,leth.,N,32.6,N,0,mar.,Arthropoda,Maxillopoda,Harpacticoida,Harpacticidae,17
Halozetes belgicae,40.1,-4.7,crit.,leth.,Y,46.9,S,0,mar.,Arthropoda,Arachnida,Acarina,Oribatidae,19
Halozetes marinus,37.9,-5.9,crit.,leth.,Y,46.9,S,0,mar.,Arthropoda,Arachnida,Acarina,Oribatidae,19
Halozetes marionensis,37.4,-5.4,crit.,leth.,Y,46.9,S,0,mar.,Arthropoda,Arachnida,Acarina,Oribatidae,19
Girella nigricans,31.4,4.6,crit.,leth.,N,34,N,0,mar.,Chordata,Actinopterygii,Perciformes,Kyphosidae,5
Atherinops affinis,31.7,7.8,crit.,leth.,N,33,N,0,mar.,Chordata,Actinopterygii,Atheriniformes,Atherinidae,5
Fundulus parvipinnis,36.5,1.2,crit.,leth.,N,33,N,0,mar.,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,5
Bathygobius fuscus,42.6,7.3,crit.,crit.,Y,5.5,S,0,mar.,Chordata,Actinopterygii,Perciformes,Gobiidae,21
Liza vaigiensis,45.3,7.1,crit.,crit.,Y,5.5,S,0,mar.,Chordata,Actinopterygii,Mugiliformes,Mugilidae,21
Bathygobius sp1,43,9.8,crit.,crit.,Y,5.5,S,0,mar.,Chordata,Actinopterygii,Perciformes,Gobiidae,21
Dascyllus aruanus,41.4,11.6,crit.,crit.,Y,5.5,S,0,mar.,Chordata,Actinopterygii,Perciformes,Pomacentridae,21
Apogon novemfasciatus,40.9,12.6,crit.,crit.,Y,5.5,S,0,mar.,Chordata,Actinopterygii,Perciformes,Apogonidae,21
Dasyatis sabina,41.8,2.5,crit.,crit.,Y,29.7,N,0,mar.,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,22
Lepidonotothen nudifrons,9,-1.5,crit.,crit.,N,67.1,S,0,mar.,Chordata,Actinopterygii,Perciformes,Nototheniidae,25
Menidia menidia,32.5,1.5,crit.,leth.,N,40,N,0,mar.,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,5
Pseudopleuronectes americanus,29.1,1,crit.,leth.,N,40,N,0,mar.,Chordata,Actinopterygii,Atheriniformes,Pleuronectidae,5
Sphoeroides maculatus,32.5,7.6,crit.,leth.,N,40,N,0,mar.,Chordata,Actinopterygii,Tetraodontiformes,Tetradontidae,5
Cyprinodon dearborni,35.7,15,crit.,leth.,N,18,N,0,mar.,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,5
Rivulus marmoratus,35.7,15,crit.,leth.,N,18,N,0,mar.,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,5
Hemigrapsus nudus,33.6,3.5,crit.,crit.,N,48.8,N,0,mar.,Arthropoda,Malacostraca,DecapodaGrapsoidea,Varunidae,46
Apogon dovii,35.9,13.1,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Apogonidae,"48,49"
Apogon pacifici,34.7,10.8,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Apogonidae,"48,49"
Bathygobius ramosus,39.6,11.9,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Gobiidae,"48,49"
Chromis atrilobata,35.2,11.2,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Pomacentridae,"48,49"
Cirrhitichthys oxycephalus,35.8,11.4,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Cirrhitidae,"48,49"
Coryphopterus urospilus,35.4,12.3,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Gobiidae,"48,49"
Eucinostomus gracilis,38,12.4,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Gerreidae,"48,49"
Haemulon steindachneri,37.2,13.2,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Haemulidae,"48,49"
Halichoeres dispilus,35.8,15.6,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Labridae,"48,49"
Lutjanus guttatus,37.4,12,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Lutjanidae,"48,49"
Malacoctenus zonifer,38.2,12.5,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Labrisomidae,"48,49"
Mugil curema,40.8,10.8,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Mugilidae,"48,49"
Plagiotremus azaleus,35.3,13.4,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Blenniidae,"48,49"
Stegastes acapulcoensis,37.7,12.6,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Pomacentridae,"48,49"
Thalassoma lucasanum,36,16.3,crit.,crit.,N,3,N,0,mar.,Chordata,Actinopterygii,Perciformes,Labridae,"48,49"
Liothyrella uva,4.5,-1.5,crit.,crit.,N,60.7,S,0,mar.,Brachiopoda,Articulata,Terebratulida,Terebratulidae,51
Nacella concinna,9,-1.5,crit.,crit.,N,60.7,S,0,mar.,Mollusca,Gastropoda,Archaeogastropoda,Patellidae,51
Laternula elliptica,9,-1.5,crit.,crit.,N,67.5,S,0,mar.,Mollusca,Bivalvia,Pholadomyoida,Laternulidae,52
